"","Branching_Corals","Massive_Corals","Macroalgae","Turf","Turf_sand","Sand","CCA","Soft_Corals"
"1A",0,0.4330394462,0.1389,0,88.831664879,9.8611,0.7352956745,0.1470697231
"1B",0.5887879334,0.4206660395,1.9001920516,3.08161859295,82.5497176205,2.58274237295,8.1362150709,0.7400603182
"1C",2.2103039382,0.138898611,2.54995371405,5.8851596225,75.82275216,0.8333,11.38318005205,1.176451903
"2A",6.8379919407,8.51746827,1.13915991825,4.47450841115,53.660967823,5.28785014575,16.94156691825,1.433831715
"2B",7.952147448,6.6264248189,2.02772425635,10.58953212235,48.172621477,2.1486458532,21.31876678025,0.14707128035
"2C",3.24378005155,6.5186277533,1.71108025545,9.70809485885,50.8653982995,2.32061188855,20.63566692,3.999985306
"3A",9.03614796325,2.3820688335,0.5637669451,9.9810612225,33.890448955,1.29906262,36.638406162,5.22881069305
"3B",18.51980391035,3.19160634405,0.2941363319,13.37108266635,27.054198918,0,25.388478785,11.8949567195
"3C",4.2302247325,4.8514376064,1.85372172925,22.368493572,39.4647629225,0.8537012382,21.78183645835,4.30588605665
"4A",4.42714282845,5.4941290909,3.59925854665,35.22491532375,22.2941174019,1.83369542465,23.0706162007,2.5982907149
"4B",5.71023012875,6.4811309272,3.39467633705,18.81771063585,50.8378581025,1.5845062558,7.7789323625,4.0243115216
"4C",5.8514416104,5.9878893442,5.5586006416,4.5251118468,66.467865446,1.9897526732,6.41986530035,1.1428483265
"5A",4.7892191734,7.50346411415,4.2766023428,13.08760415575,61.23545697865,2.38919432615,4.37960505765,0.9166260002
"5B",4.9399617426,9.9793306942,1.28278996425,14.51566693545,57.025950018,1.1312607358,5.5797133113,4.55247353655
"5C",3.91881518215,18.19669194565,3.17201316905,4.61247334355,63.5468894465,0.71877291425,3.68674171585,1.11507020605
"6A",2.28544182645,33.24980453895,1.84234249045,3.70059634515,42.9966666075,10.24487011665,3.8317539249,1.69100729945
"6B",2.46859888425,29.42551912995,1.8465456518,7.0761657979,46.900092381,2.9947040632,8.14845415105,1.24998611105
"6C",3.2460656224,34.35597664075,1.16178656,6.5617510494,39.14948408155,5.04769312055,8.6545152926,1.50897968395
"7A",6.64410493815789,9.22542767989474,3.56201800773684,12.9416860884211,60.3637532589474,1.50013373310526,0.775910129631579,4.71776430405263
"7B",8.21384680915,4.9180148384,5.12236210605,9.843044293,57.327700742,2.3172573884,5.4240565629,4.46538538355
"7C",9.24555248722222,2.60824835788889,6.64252422455556,20.3775542517222,47.1196280627222,2.75706620661111,3.17297309155556,4.49141715388889
"9A",18.44608991285,7.5407050514,8.66406157465,8.2323779075,31.15963380545,1.7262233427,18.5523565247,4.6441203334
"9B",34.9766299708889,1.89628631288889,6.50584453633333,11.9352269603889,20.5282740867222,1.90478149616667,20.8147672406667,1.27944944138889
"9C",16.59055845235,2.72377287715,8.4974792547,9.1564577286,38.09520087425,2.9603333015,16.7401650843,5.23603242805
