"","Brown_Algae","CCA","Cyanobacteria","Dead_Coral","Foraminifera","Green_Algae","Hard_Coral","Hard_Substrate","Macrofauna","Other_cnidarian","Red_Algae","Sand","Soft_Coral","Turf_algae","Turf_and_sand"
"1A_01",0,0,0,0,0,0.5556,0,0,0,0,0,0,0,0,97.222
"1A_02",0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,97.222
"1A_03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_06",0,0,0,0,0,0,0,0,0,0,0,36.111,0,0,63.889
"1A_07",0,0,0,0,0,0,0,0,0,0,0,11.111,0,0,88.889
"1A_08",0,0,0,0,0,0,0.06313636,0,0,0,0,0,0,0,97.222
"1A_09",0,0,0,0,0,0,0,0,0,0,0,25,0,0,75
"1A_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_15",0,0,0,0,0,0,0,0,0,0,0,83.333,0,0,16.667
"1A_16",0,0,0,0,0,0,0,0,0,0,0,38.889,0,0,61.111
"1A_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_19",0,0,0,0,0,0.5556,0,0,0,0,0,0,0,0,97.222
"1A_20",0,14.70591349,0,0,0,0,0.06684987,0,0,2.94139446,0,0,0,0,79.41129758
"1B_01",0,3.030534,0,0,0,0,0,0,0,0,0,0,1.515267,12.121047,78.78735
"1B_02",0,0,0,0,0,0,0,0,0,0,0,9.090612,0,0,90.909388
"1B_03",0,0,0,0,0,0,0,0,0,0,0,2.857378,0,0,97.142622
"1B_04",0,2.9413945,0,0,0,0.5882789,0,0,0,0,0,14.7059135,0,0,79.4112976
"1B_05",0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,97.222
"1B_06",0,6.0610027,0,0,0,1.8180826,0.1377501,0,0,0,0,0,0,6.0610027,72.7265785
"1B_07",0,22.8569665,0,0,0,2.2856967,0.1298808,0,0,0,0,0,0,0,59.9997943
"1B_08",0,2.941394,0,0,0,1.176558,0,0,0,0,0,0,0,0,91.175817
"1B_09",0,20.587644,0,0,0,1.176558,0,0,0,0,0,0,1.470697,0,67.646779
"1B_10",0,25.71408,0,0,0,0,0,0,0,0,0,0,0.7143371,5.7146971,65.7138743
"1B_11",0,5.555944,0,0,0,0,0,0,0,0,0,0,0,2.777972,91.666083
"1B_12",0,61.76464,0,0,0,0,0,0,0,0,0,0,0,23.52929,14.70607
"1B_13",0,5.71469714,0,0,0,0,0.06493974,0,0,0,0,0,0,11.42836572,79.99958857
"1B_14",0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,97.222
"1B_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1B_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1B_17",0,0,0,0,0,0,0,0,0,0,0,13.889,0,0,86.111
"1B_18",0,0,0,0,0,0,0.06313636,0,0,0,0,0,0,0,97.222
"1B_19",0,0,0,0,0,0,0.06313573,0,0,0,2.77797222,5.55594444,0,0,88.88811112
"1B_20",0,0,0,0,0,0,0,0,0,0,0,5.556,0,0,94.444
"1C_01",0,0,0,0,0,0,0,0,0,0,0,8.333,0,0,91.667
"1C_02",0,2.777972,0,0,0,1.111189,0,0,0,0,0,0,0,0,91.666083
"1C_03",0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,97.222
"1C_04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1C_05",0,8.333,0,0,0,0,0,0,0,0,0,0,0,2.778,88.889
"1C_06",0,0,0,0,0,0.5556,0,0,0,0,0,8.333,0,0,88.889
"1C_07",0,5.55594444,0,0,0,0.55559444,0.06313573,0,0,0,0,0,0,0,88.88811112
"1C_08",0,0,0,0,0,0.5556,0,0,0,0,0,0,0,0,97.222
"1C_09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1C_10",0,2.7779722,0,0,0,0.5555944,0.1262715,0,0,0,0,0,0,0,88.8881111
"1C_11",0,11.4284833,0,0,0,0.5714756,0.2597383,0,0,0,0,0,0,0,74.2856555
"1C_12",0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,97.222
"1C_13",0,18.7503516,0,0,0,0.6250492,0.2840877,0,0,0,0,0,0,28.1249648,37.4995781
"1C_14",0,19.444,0,0,0,1.6666,0.06313636,0,0,0,0,0,0,2.778,66.667
"1C_15",0,61.111,0,0,0,1.1112,0,0,0,0,0,0,0,25,8.333
"1C_16",0,45.4542479,0,0,0,0,0.1377501,0,0,0,0,0,0,18.1819174,30.302832
"1C_17",0,8.82312457,0,0,0,0.58827889,0.06684987,0,0,0,0,0,0,0,85.29408651
"1C_18",0,2.778,0,0,0,0.5556,0,0,0,0,0,0,0,0,94.444
"1C_19",0,14.2858612,0,0,0,0.5714756,0,0,0,0,0,0,0,11.4284833,71.4282776
"1C_20",0,20.5876436,0,0,0,1.17655778,0.06684987,0,0,0,0,0,5.88225952,29.41182699,17.64730796
"2A_01",0,23.5290381,0,0,0,0,0.2005496,0,0,0,0,0,1.4706972,8.8231246,52.9408651
"2A_02",0,9.0906116,0,0,0,0,0.3443579,0,0,0,0,6.061135,0,21.2117906,48.4847163
"2A_03",0,19.444,0,0,0,0,1.073227,0,0,0,0,0,0,2.778,30.556
"2A_04",0,8.571017,0,8.571017,0,0,1.038966,0,0,0,2.857349,0,0,2.857349,31.428777
"2A_05",0,8.333083,2.778028,5.556056,0,0,1.073238,0,0,0,8.333083,0,0,8.333083,19.444194
"2A_06",0,38.8882222,0,0,0,0,0.1894053,0,0,0,0,0,2.0834583,16.6666667,27.7774445
"2A_07",0,35.2935571,0,0,0,0,0.06684987,0,0,0,0,0,0.73534862,2.94139446,55.88225952
"2A_08",0,2.7779444,0,0,0,0,0.2525404,0,0,0,0,5.5558889,0,0,80.5543889
"2A_09",0,2.857349,0,0,0,0,0.259759,0,0,0,0,11.428366,0,0,74.284891
"2A_10",0,22.2217778,2.7779722,0,0,0,0.3156559,0,0,0,2.7779722,0,0.6944931,2.7779722,52.7774722
"2A_11",0,5.7146971,0,0,0,0,0.1298795,0,0,0,0,8.5710171,1.4286743,0,74.2848914
"2A_12",0,11.76439447,0,0,0,0,0.06684917,0,0,0,2.94136332,5.88272664,0,5.88272664,70.58742562
"2A_13",0,16.667,0,0,0,0,0.5681818,0,0,0,0,0,0,0,58.333
"2A_14",0,2.778,0,0,0,0,0.06313636,0,1.389,0,0,19.444,0,2.778,69.444
"2A_15",0,37.1420637,0,0,0,0,0.1298781,0,2.8573192,0,0,5.7146384,0,2.8573192,42.856702
"2A_16",0,42.856702,0,0,0,0,0.1948172,0,1.4286596,0,0,2.8573192,0.7143298,0,39.9993829
"2A_17",0,11.111,0,0,0,0,0.2525227,0,0,0,0,8.333,1.389,2.778,61.111
"2A_18",0,5.5559444,0,0,0,0.5555944,0.4419274,0,1.3889861,0,0,0,0,0,69.4433056
"2A_19",0,8.571105,2.857378,0,0,0,0,0,0,0,0,28.571722,0,0,59.999794
"2A_20",0,5.7147559,0,0,0,0,0.7142744,0,1.428689,0,2.857378,8.5711053,0,0,48.571311
"2B_01",0,41.667,0,0,0,0,0.2525227,0,0,0,0,0,0,19.444,27.778
"2B_02",0,14.285714,0,0,0,0,0,0,0,0,0,2.857349,0,2.857349,79.999589
"2B_03",0,31.4284539,0,0,0,0,0.4545501,0,0,0,2.8573192,11.4282482,0,5.7146384,28.5711347
"2B_04",0,11.1111111,2.7780278,0,0,0,0.1893883,0,0,0,8.3330833,0,0,11.1111111,58.3335833
"2B_05",0,11.4283657,0,0,0,0,0.5194945,0,0,0,0,2.8573486,0,0,62.8565257
"2B_06",0,11.764519,0,0,0,0,1.069526,0,0,0,0,0,0,2.941394,38.234952
"2B_07",0,25,0,0,0,0,0.1262727,0,0,0,0,0,0,0,69.444
"2B_08",0,27.778,0,0,0,0,0.9469773,0,0,0,0,0,0,8.333,22.222
"2B_09",0,8.333,0,0,0,0,0.6944545,0,0,0,0,0,0,19.444,41.667
"2B_10",0,18.1819174,0,0,0,0,0.3443504,0,0,0,0,3.0305014,0,3.0305014,60.6056639
"2B_11",0,25,0,0,0,0,0.06313636,0,0,0,0,2.778,0,19.444,50
"2B_12",0,14.7057578,0,0,0,0,0.2005475,0,0,0,0,2.9413633,0,5.8827266,67.6460623
"2B_13",0,12.49985938,0,0,0,0,0.07102832,0,0,0,0,0,0,6.25049219,78.12440234
"2B_14",0,23.5292872,0,0,0,0,0,0,0,0,11.7646436,0,0.7353564,23.5292872,38.2353564
"2B_15",0,18.7501406,0,0,0,0,0.4261396,0,0,0,6.2504219,0,0,37.4991563,18.7501406
"2B_16",0,17.6471211,11.7643945,0,0,0,0.6016184,0,1.4706817,0,0,0,0,14.7057578,26.4701523
"2B_17",0,19.444,0,0,0,0,0.1893864,0,0,0,2.778,0,0,13.889,55.556
"2B_18",0,28.57142857,0,0,0,0,0.06493974,0,0,0,8.57101715,5.71469714,0,5.71469714,48.57081143
"2B_19",0,44.444,0,0,0,0,0.1893864,0,0,0,0,2.778,0,2.778,41.667
"2B_20",0,19.444,0,0,0,0,0.5681818,0,1.389,0,0,5.556,0,8.333,38.889
"2C_01",0,19.9993829,0,0,0,0,0.1298795,0,0,0,0,0,0,17.1430629,57.1428571
"2C_02",0,44.444,0,0,0,0,0.3787955,0,0,0,0,0,0,0,38.889
"2C_03",0,33.33333,0,0,0,0,0,0,0,0,0,0,0,19.44419,47.22247
"2C_04",0,30.55569444,0,0,0,0.55559444,0.06313573,0,0,0,0,0,0,11.11088889,52.77747223
"2C_05",0,38.23495156,2.94139446,0,0,0,0.06684987,0,0,0,2.94139446,0,0,11.76451903,41.17634602
"2C_06",0,37.14244572,0,0,0,0,0.06493974,0,0,0,0,0,0,28.57142857,31.42877714
"2C_07",0,14.7059135,0,0,0,0,0.5347749,0,0,0,0,8.8231246,0,5.8827889,47.0580761
"2C_08",0,30.5556944,0,2.7779722,0,0,0.5050404,0,0,0,2.7779722,0,0,5.5559444,36.1106389
"2C_09",0,5.556,0,0,0,0,0,0,0,0,0,0,0,11.111,83.333
"2C_10",0,19.444,0,0,0,0,0.06313636,0,0,0,0,0,0,2.778,75
"2C_11",0,8.3328333,2.7779444,0,0,0,0.4419457,0,0,0,8.3328333,5.5558889,0,16.6666667,38.8882222
"2C_12",0,11.111,0,0,0,0,0.3787955,0,0,0,0,0,0,13.889,58.333
"2C_13",0,16.667,8.333,0,0,0,0.8838409,0,0,0,2.778,0,0,0,33.333
"2C_14",0,0,0,0,0,0,0.4419091,0,0,0,0,2.778,11.8055,5.556,25
"2C_15",0,17.14288653,0,0,0,0,0.06493907,0,0,0,0,5.71463836,4.28572163,2.85731918,54.28495022
"2C_16",0,0,0,0,0,0,0.441923,0,0,0,2.777944,5.555889,4.166667,2.777944,52.776944
"2C_17",0,13.8887222,2.7779444,0,0,0,0.1262702,0,0,0,5.5558889,0,0,16.6666667,55.5548889
"2C_18",0,29.4115156,0,0,0,0,0.1336983,0,0,0,0,5.8827266,0,14.7057578,44.1172734
"2C_19",0,2.7779444,0,0,0,0.5555889,0.3156755,0,0,0,0,5.5558889,0,0,74.9985
"2C_20",0,29.41151558,2.94136332,0,0,0,0.06684917,0,0,0,0,2.94136332,0,2.94136332,58.82303115
"3A_01",0,44.444,0,0,0,0.5556,0.1262727,0,0,0,0,2.778,0,25,19.444
"3A_02",0,47.222472,0,0,0,0,0,0,0,0,0,0,2.083271,8.333083,36.111361
"3A_03",0,38.889,0,0,0,0,0,0,0,0,0,2.778,2.08325,0,50
"3A_04",0,13.8888611,0,2.7779722,0,0,0.6313119,0,0,0,0,0,2.7777222,2.7779722,41.6665833
"3A_05",0,47.221528,0,0,0,0,0,0,0,0,2.777972,2.777972,0,5.555944,41.666583
"3A_06",0,26.470713,0,0,0,0,0,0,0,0,0,0,11.029552,8.823218,20.587862
"3A_07",0,44.444,0,0,0,0,0,0,0,0,0,0,0,27.778,27.778
"3A_08",0,21.8744727,0,0,0,0,0.9232915,0,0,0,0,0,0,3.1252461,34.375457
"3A_09",0,31.4284539,2.8573192,0,0,0,0.4545501,0,0,0,0,0,0,5.7146384,39.9993829
"3A_10",0,22.2217778,5.5559444,0,0,0,0.3787917,0,0,0,0,0,0,0,55.5554444
"3A_11",0,29.411827,0,0,0,0,0.6016007,0,0,0,0,0,0,29.411827,14.7059135
"3A_12",0,52.94142561,0,0,0,0,0.06685058,0,0,0,0,0,5.8823218,20.58786159,0
"3A_13",0,17.647308,0,0,0,0.5882789,0,0,0,0,0,17.647308,3.6764784,0,47.0580761
"3A_14",0,20.5878616,0,0,0,0,0.8021348,0,0,0,0,0,0,5.8828512,38.2353564
"3A_15",0,41.6661667,0,0,0,0.5555889,0.1894053,0,0,0,0,0,0,5.5558889,41.6661667
"3A_16",0,69.6968375,0,0,0,0,0.1377516,0,0,0,0,0,0,9.0905124,15.1515813
"3A_17",0,38.8886111,0,0,0,0,0.1262715,0,0,0,0,0,0.6944931,22.2217778,30.5556944
"3A_18",0,19.4438056,0,5.5559444,0,0,0.6313346,0,0,0,0,0,0,2.7779722,44.4435556
"3A_19",0,44.4435556,0,0,0,0,0.3156787,0,0,0,0,0,0,5.5559444,36.1106389
"3A_20",0,48.571311,0,0,0,0,0,0,1.428689,0,0,0,0,11.428483,37.142828
"3B_01",0,17.143063,0,0,0,0,1.038966,0,0,0,0,0,0,19.999383,17.143063
"3B_02",0,31.4284539,0,0,0,0,0.6493673,0,0,0,0,0,0,2.8573192,37.1420637
"3B_03",0,45.4542479,0,0,0,0,0.4132254,0,0,0,0,0,0,18.1819174,18.1819174
"3B_04",0,22.2217778,0,0,0,0,0.1262715,0,0,0,0,0,0,5.5559444,66.6663333
