"","Branching_Coral","Brown_Algae","CCA","Cyanobacteria","Dead_Coral","Foraminifera","Green_Algae","Hard_Substrate","Macrofauna","Massive_Coral","Other_cnidarian","Red_Algae","Sand","Soft_Coral","Turf_algae","Turf_and_sand"
"1A_01",0,0,0,0,0,0,0.5556,0,0,0,0,0,0,0,0,97.222
"1A_02",0,0,0,0,0,0,0,0,0,0,0,0,2.778,0,0,97.222
"1A_03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_06",0,0,0,0,0,0,0,0,0,0,0,0,36.111,0,0,63.889
"1A_07",0,0,0,0,0,0,0,0,0,0,0,0,11.111,0,0,88.889
"1A_08",0,0,0,0,0,0,0,0,0,0.07937143,0,0,0,0,0,97.222
"1A_09",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,75
"1A_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_15",0,0,0,0,0,0,0,0,0,0,0,0,83.333,0,0,16.667
"1A_16",0,0,0,0,0,0,0,0,0,0,0,0,38.889,0,0,61.111
"1A_17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1A_19",0,0,0,0,0,0,0.5556,0,0,0,0,0,0,0,0,97.222
"1A_20",0,0,14.70591349,0,0,0,0,0,0,0.08403984,2.94139446,0,0,0,0,79.41129758
"1B_01",0,0,3.030534,0,0,0,0,0,0,0,0,0,0,1.515267,12.121047,78.78735
"1B_02",0,0,0,0,0,0,0,0,0,0,0,0,9.090612,0,0,90.909388
"1B_03",0,0,0,0,0,0,0,0,0,0,0,0,2.857378,0,0,97.142622
"1B_04",0,0,2.9413945,0,0,0,0.5882789,0,0,0,0,0,14.7059135,0,0,79.4112976
"1B_05",0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,97.222
"1B_06",0.6734447,0,6.0610027,0,0,0,1.8180826,0,0,0,0,0,0,0,6.0610027,72.7265785
"1B_07",0.6349729,0,22.8569665,0,0,0,2.2856967,0,0,0,0,0,0,0,0,59.9997943
"1B_08",0,0,2.941394,0,0,0,1.176558,0,0,0,0,0,0,0,0,91.175817
"1B_09",0,0,20.587644,0,0,0,1.176558,0,0,0,0,0,0,1.470697,0,67.646779
"1B_10",0,0,25.71408,0,0,0,0,0,0,0,0,0,0,0.7143371,5.7146971,65.7138743
"1B_11",0,0,5.555944,0,0,0,0,0,0,0,0,0,0,0,2.777972,91.666083
"1B_12",0,0,61.76464,0,0,0,0,0,0,0,0,0,0,0,23.52929,14.70607
"1B_13",0,0,5.71469714,0,0,0,0,0,0,0.08163853,0,0,0,0,11.42836572,79.99958857
"1B_14",0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,97.222
"1B_15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1B_16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1B_17",0,0,0,0,0,0,0,0,0,0,0,0,13.889,0,0,86.111
"1B_18",0,0,0,0,0,0,0,0,0,0.07937143,0,0,0,0,0,97.222
"1B_19",0,0,0,0,0,0,0,0,0,0.07937063,0,2.77797222,5.55594444,0,0,88.88811112
"1B_20",0,0,0,0,0,0,0,0,0,0,0,0,5.556,0,0,94.444
"1C_01",0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,0,91.667
"1C_02",0,0,2.777972,0,0,0,1.111189,0,0,0,0,0,0,0,0,91.666083
"1C_03",0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,97.222
"1C_04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1C_05",0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,2.778,88.889
"1C_06",0,0,0,0,0,0,0.5556,0,0,0,0,0,8.333,0,0,88.889
"1C_07",0,0,5.55594444,0,0,0,0.55559444,0,0,0.07937063,0,0,0,0,0,88.88811112
"1C_08",0,0,0,0,0,0,0.5556,0,0,0,0,0,0,0,0,97.222
"1C_09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"1C_10",0.6173272,0,2.7779722,0,0,0,0.5555944,0,0,0,0,0,0,0,0,88.8881111
"1C_11",1.2698315,0,11.4284833,0,0,0,0.5714756,0,0,0,0,0,0,0,0,74.2856555
"1C_12",0,0,2.778,0,0,0,0,0,0,0,0,0,0,0,0,97.222
"1C_13",1.3888733,0,18.7503516,0,0,0,0.6250492,0,0,0,0,0,0,0,28.1249648,37.4995781
"1C_14",0.3086667,0,19.444,0,0,0,1.6666,0,0,0,0,0,0,0,2.778,66.667
"1C_15",0,0,61.111,0,0,0,1.1112,0,0,0,0,0,0,0,25,8.333
"1C_16",0.6734447,0,45.4542479,0,0,0,0,0,0,0,0,0,0,0,18.1819174,30.302832
"1C_17",0.3268216,0,8.8231246,0,0,0,0.5882789,0,0,0,0,0,0,0,0,85.2940865
"1C_18",0,0,2.778,0,0,0,0.5556,0,0,0,0,0,0,0,0,94.444
"1C_19",0,0,14.2858612,0,0,0,0.5714756,0,0,0,0,0,0,0,11.4284833,71.4282776
"1C_20",0.3268216,0,20.5876436,0,0,0,1.1765578,0,0,0,0,0,0,5.8822595,29.411827,17.647308
"2A_01",0.3268216,0,23.5290381,0,0,0,0,0,0,0.1680797,0,0,0,1.4706972,8.8231246,52.9408651
"2A_02",1.683527,0,9.090612,0,0,0,0,0,0,0,0,0,6.061135,0,21.211791,48.484716
"2A_03",3.7036667,0,19.444,0,0,0,0,0,0,0.3968286,0,0,0,0,2.778,30.556
"2A_04",0,0,8.571017,0,8.571017,0,0,0,0,1.306128,0,2.857349,0,0,2.857349,31.428777
"2A_05",2.160466,0,8.3330833,2.7780278,5.5560556,0,0,0,0,0.7936651,0,8.3330833,0,0,8.3330833,19.4441944
"2A_06",0.61732099,0,38.88822224,0,0,0,0,0,0,0.07936984,0,0,0,2.08345833,16.66666667,27.77744445
"2A_07",0.3268216,0,35.2935571,0,0,0,0,0,0,0,0,0,0,0.7353486,2.9413945,55.8822595
"2A_08",0.617321,0,2.7779444,0,0,0,0,0,0,0.1587397,0,0,5.5558889,0,0,80.5543889
"2A_09",0.6349663,0,2.8573486,0,0,0,0,0,0,0.1632771,0,0,11.4283657,0,0,74.2848914
"2A_10",1.23454321,0,22.22177778,2.77797222,0,0,0,0,0,0.07937063,0,2.77797222,0,0.69449306,2.77797222,52.77747223
"2A_11",0.31748317,0,5.71469714,0,0,0,0,0,0,0.08163853,0,0,8.57101715,1.42867428,0,74.28489144
"2A_12",0,0,11.76439447,0,0,0,0,0,0,0.08403895,0,2.94136332,5.88272664,0,5.88272664,70.58742562
"2A_13",0,0,16.667,0,0,0,0,0,0,0.7142857,0,0,0,0,0,58.333
"2A_14",0,0,2.778,0,0,0,0,0,1.389,0.07937143,0,0,19.444,0,2.778,69.444
"2A_15",0,0,37.1420637,0,0,0,0,0,2.8573192,0.1632754,0,0,5.7146384,0,2.8573192,42.856702
"2A_16",0,0,42.856702,0,0,0,0,0,1.4286596,0.2449131,0,0,2.8573192,0.7143298,0,39.9993829
"2A_17",0,0,11.111,0,0,0,0,0,0,0.3174571,0,0,8.333,1.389,2.778,61.111
"2A_18",0.6173272,0,5.5559444,0,0,0,0.5555944,0,1.3889861,0.3968246,0,0,0,0,0,69.4433056
"2A_19",0,0,8.571105,2.857378,0,0,0,0,0,0,0,0,28.571722,0,0,59.999794
"2A_20",3.17452154,0,5.71475592,0,0,0,0,0,1.42868898,0.08163937,0,2.85737796,8.57110531,0,0,48.57131102
"2B_01",0.3086667,0,41.667,0,0,0,0,0,0,0.2380857,0,0,0,0,19.444,27.778
"2B_02",0,0,14.285714,0,0,0,0,0,0,0,0,0,2.857349,0,2.857349,79.999589
