"","Acanthastrea","Acanthastrea_echinata","Acropora","Acropora_abrotanoides","Acropora_branching","Acropora_digitifera","Acropora_Robusta","Astrea","Astreopora","Astreopora_myriophthalma","Astreopora_ocellata","Coscinaraea","Cyphastrea","Dipsastraea","Dipsastraea_matthai","Echinopora","Favites","Favites_pentagona","Galaxea","Goniastrea","Goniastrea_stelligera","Gonistrea_pectinata","Hard_coral","Hydnophora","Leptastrea","Leptastrea_purpurea","Montipora","Paramontastraea_peresi","Pavona_venosa","Platygyra","Platygyra_pini","Plesiastrea_versipora","Pocillopora","Pocillopora_grandis_eydouxi","Pocillopora_meandrina","Pocillopora_verrucosa","Porites_branching","Porites_massive","Porites_rus","Psammocora","Psammocora_profundacella","Stylocoeniella","Turbinaria_coral","Turbinaria_irregularis","Cladiella","Echinostrephus_molaris","Lobophytum","Millepora","Molluscs","Sarcophyton","Soft_Coral","Sand","Dead_coral","Hard_Substrate","Cyanobacteria","Foraminifera","CCA","Dictyosphaeria","Green_turfing_algae","Halimeda","Liagora","Neomeris","Padina","Turbinaria_algae","Turf_algae","Turf_and_sand","Ulva"
"1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1389,0,0,0.147069723119276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147069723119276,0,0,0,9.8611,0,0,0,0,0.735295674731325,0.2778,0,0,0,0,0,0,0,88.6927648790301,0
"1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.420666039503033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588787933424651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303053443442024,0,0,0.437006874727695,0,2.58274237314936,0,0,0,0,8.13621507103189,1.76129344036926,0,0,0.13889861101389,0,0,0,3.08161859270142,82.5497176206368,0
"1C",0.13889861101389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2103039377329,0,0,0,0,0,0,0,0,0,0,0,1.1764519032241,0,0,0,0,0,0,0.8333,0,0,0,0,11.3831800521633,2.41105371405761,0,0,0,0.1389,0,0,5.88515962260405,75.8227521592042,0
"2A",0,0.138897222055559,0,0.454530578404207,0,0,0,0,0.281768817503034,5.49604543259972,0,0,0,0.138897222055559,0.13890138901389,0,0,0,0.1389,0,0,0.13889861101389,0.142867428489144,0,0,0,1.3889,0,0,0,0,0,1.85493527663125,2.11107942863552,1.66665,0.849458746639228,0,1.13943453812557,0,0,0.147069723119276,0,0,0,0.285966945174835,0.849265386067333,0.416697222055559,0,0,0.861638873253192,0.138897222055559,5.54954593341006,0.706353635335208,0,0.420668898013833,0,15.9441131622771,0,0,0,0.988357269966842,0,0,0,4.03427131344496,53.4380911136458,0.13889861101389
"2B",0.156262304672119,0,0,1.15596310322047,0,0.294136331872181,0,0.41665,0,1.85390610522005,0,0,0,0,0,0,0.294136331872181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16412201433449,2.1464707989702,1.29481310322047,2.53719626102888,0,4.02452545894537,0,0,0,0,0,0,0,0.14706816593609,0,0,0.1389,0,0.147071280335437,1.99707535707775,0,0,0.727121112453739,0,21.250683801944,0,0,0,2.02772425627403,0,0,0,10.5451055543654,47.6810686582571,0
"2C",0.138897222055559,0,0,0,0,0,0,0.1389,0,1.82593179371936,0.55555,0.14706816593609,0.1389,0.138897222055559,0,0,0,0,0,0.138897222055559,0,0.138897222055559,0,0,0.14706816593609,0,0,0,0,0,0,0,0.988391911136613,0.294139446238551,0.972247222055559,1.39706000077206,0,4.06443087978175,0,0,0,0,0,0,1.69047765983708,0,0,0,0,2.3611,0,2.14037597667933,0.13889861101389,0,0.988582333166484,0,20.1357416771493,0,0,0,1.2582016674665,0,0,0,9.47112726093416,50.3124225068855,0.277795833069449
"3A",0,0,0,0.41669583304167,0,3.21894288708364,0,0.563717113877101,0.41669583304167,0.151526721721012,0,0,0,0.70711977681824,0,0,0.27779722202778,0,0.27779722202778,0,0,0.13889861101389,0,0,0,0,0,0,0,0,0,0,0.845480126697294,3.16618414846612,0,1.38888611113889,0,0.27779861101389,0,0,0,0,0,0,3.52944446370629,0.142868897986053,0.727124562625939,0,0,0.833304166541666,0.555544444555554,1.29906400886449,0.41669583304167,0,0.420663181050243,0,36.070199389453,0,0,0,0.13889861101389,0.147069723119276,0,0,9.98106106093742,33.61272421708,0.277797222055559
"3B",0,0,0,4.09217272093932,0,4.20112326518776,0,0,0.13889861101389,2.76697287607057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14705943748728,2.73947981034018,1.86622845008368,3.62533785012263,0,0,0,0,0,0,0,0,11.6092218625981,0,0,0,0,0,0,0,0.285736326475196,0,0.285734856978287,0,25.2845918134633,0,0,0,0.14706816593609,0,0,0,13.5658419651628,27.0974638222048,0.14706816593609
"3C",0.138897222055559,0,0,1.36364628106386,0,0,0,0,0,0.71031550785213,0,0.27779722202778,0.27779722202778,0,0,0,0.142867428489144,0,0.424630529058817,0,0,0,0.428835762622309,0,0,0,0,0,0,0,0,0,2.86657845125425,0,0,0,0,2.1643297669908,0,0,0,0,0,0,3.18260307252519,0,0,0.285966945174835,0,0.837316039503033,0,0.853701238302685,0.142865959022464,0,0.43303666829411,0,21.781836458738,0,0,0,1.1470888249166,0,0,0,22.3684935727196,39.4647629231915,0.706632904169519
"4A",0.281761711641571,0,0,0,0,0.277794444111118,0,0.142865959022464,0.142865959022464,0,0,0.277795833069449,0.151525068726273,0,0,0,0.13889861101389,0,0,0,0,0.142867428489144,0.142865959022464,0,0,0,0,0,0,0,0,0.606045730243924,1.32980460350567,1.60135363091391,0,1.74371460708339,0,4.1609375116697,0,0,0.437003760361324,0.142865959022464,0,0,0.44591756594169,1.15307691663246,1.86131861528847,0,0,0.432804580097563,0,1.833692814947,0.432801553447698,0.142867428489144,0,0,22.3051883624048,0,0.147069723119276,0,1.28229780692009,0,1.70665216660571,0,33.7364508776596,22.2101112865631,0.588783524964153
