"","Branching_Coral","Brown_Algae","CCA","Cyanobacteria","Dead_Coral","Foraminifera","Green_Algae","Hard_Substrate","Macrofauna","Massive_Coral","Other_cnidarian","Red_Algae","Sand","Soft_Coral","Turf_algae","Turf_and_sand"
"1A",0,0,0.7352956745,0,0,0,0.05556,0,0,0.0081705635,0.147069723,0,9.8611,0,0,88.692764879
"1B",0.06542088,0,8.136214842,0,0,0,0.35225871,0,0,0.0120190295,0,0.138898611,2.582742397,0.185015055,3.081618726,82.5497176695
"1C",0.24558933,0,11.383180042,0,0,0,0.509990747,0,0,0.0039685315,0,0,0.8333,0.294112975,5.885159625,75.822752146
"2A",0.7707393155,0,15.9441131575,0.420668901,0.70635363,0,0.02777972,0,0.424632694,0.2654451425,0,0.98835729,5.549545915,0.4258000635,4.0342713565,53.438091078
"2B",0.9547446585,0,21.250683769,0.7271211135,0,0,0,0,0.142984083,0.1927280145,0,2.0277242575,1.9970753605,0.03676782,10.545105561,47.6810686825
"2C",0.4057598435,0,20.1357415115,0.98858233,0.13889861,0,0.0555591665,0,0,0.216383931,0,1.258201665,2.140375977,1.0128944165,9.471127037,50.312422396
"3A",1.004020993,0,36.0701994545,0.42066315,0.41669582,0,0.0849733895,0,0.07143445,0.08032432,0,0.1388986,1.299064,1.411354415,9.9810609635,33.612724149
"3B",2.074600163,0,25.2845916615,0.28573485,0.28573635,0,0.029413635,0,0,0.0830249015,0,0.147068165,0,2.9023056225,13.5658419165,27.0974638295
"3C",0.4700249685,0,21.781836443,0.433036665,0.14286596,0,0.14132658,0,0,0.1304420265,0.28596692,1.147088826,0.85370124,1.004979788,22.368493588,39.46476293
"4A",0.5502963465,0.8533261,22.305188336,0,0.432801545,0,0.147170647,0.14286743,0.576538474,0.19337998,0,1.282297789,1.833692819,0.685010196,33.73645088,22.210111317
"4B",0.682639446,1.33966808,7.911512405,0.1389,0.14286596,0,0.086561193,0,0.641153213,0.180981081,1.13495035,0.27779722,1.5845048595,0.719792325,19.261710229,49.796048372
"4C",0.6833960695,2.421851508,6.263608624,0.4167,0.156262305,0,0,0,1.3154849165,0.1464875395,1.142848325,0.7334912695,1.972944985,0,4.534025993,66.0278172325
"5A",0.573917195,1.645950916,4.261221306,0,0.14286745,0,0,0,0.6373124415,0.265281073,0,1.131754642,1.8217434445,0.138887153,12.8179795305,60.2522657475
"5B",0.576949691,0.4206646505,5.5797061105,0.13889861,0.1428689,0,0.056352912,0,0.41867885,0.301231145,0,0.147068166,1.131259178,1.1381183705,14.3641695365,56.2474670515
"5C",0.400644425,0.990867984,3.6746088875,0,0.416645835,0,0.055559165,0,0.7825222195,0.5094835695,0.416654165,0.88547221,0.710368325,0.07044151,5.255933018,63.0962497835
"6A",0.253938165,0.138898605,3.831753942,0,0.3125211,0,0.085767725,0,0.212433465,0.9320648615,0.147068165,1.135708115,10.5782303915,0.31455107,3.700600755,42.9966974205
"6B",0.274288765,0.279779505,8.148454135,0,0.580358045,0,0,0,0.210332325,0.80898368,1.11108889,1.28698663,2.994704065,0.034724305,7.0761658,46.90009235
"6C",0.3606739385,0.069449305,8.654515305,0,0,0,0,0,0.156873975,0.9815993765,0,1.022887995,5.04769313,0.37724492,6.561751055,39.149484025
"7A",0.695886104210526,0.389345931578947,0.921043932631579,0,0,0,0.455040832105263,0,0.296594279473684,0.292593393157895,0.159500073684211,0.765400852631579,1.48760031789474,1.13499538210526,12.8003337036842,59.1753112252632
"7B",0.92562069,0.071433715,5.386820611,0,1.635914003,0,0.728093975,0,0.210330935,0.1640152415,0,1.1672389735,2.3043915735,1.1554114815,9.654592303,56.9542779875
"7C",1.04325474944444,0.396981243333333,4.47050995444444,0.158741588888889,1.43385262111111,0,0.60169893,0,0.154331788888889,0.120132477777778,0,2.83511015611111,2.75706632222222,1.12284952944444,19.8370082383333,46.3112627333333
"8A",1.745665833,0,26.213999342,0.7497809935,0.3125210935,0.172424495,0.12735526,0,0.311058855,0.1810351685,0.16667665,0.15152672,3.89436221,0.23039484,6.8500328505,37.260979015
"8B",0.067339335,0,22.4073733145,0,0.303053445,0,0,0,0.29018123,0.2508997275,0,0.14286743,6.587829281,0.60495586,4.412917601,53.7582288625
"8C",2.115123901,0,35.338711602,0.156260545,0.4654668035,0,0.1870276195,0,0,0.099073805,1.0842498025,0.9741039575,2.836120102,0.55540972,14.6577123125,18.826899738
"9A",2.048547052,0,18.5155943495,0,1.025240523,0,0.319340235,0,0,0.213610695,0,7.0030256,1.726220545,1.161030071,8.2231813515,31.3526176785
"9B",3.90185489222222,0,20.75408225,0,0.158739954444444,0,0.787503067777778,0,0,0.0540461605555556,0,2.55898912555556,1.9047815,0.319873788888889,11.7391447272222,20.6589432388889
"9C",1.8433954035,0,16.740165078,0,0,0,0.438272938,0,0,0.077822085,0,6.3061145005,2.9603332985,1.309008095,9.1564576705,38.095200877
