"","Acanthastrea","Acropora","Astrea","Astreopora","CCA","Cladiella","Coscinaraea","Cyanobacteria","Cyphastrea","Dead_coral","Dictyosphaeria","Dipsastraea","Echinopora","Echinostrephus_molaris","Favites","Foraminifera","Galaxea","Goniastrea","Green_turfing_algae","Halimeda","Hard_coral","Hard_Substrate","Hydnophora","Leptastrea","Liagora","Lobophytum","Millepora","Molluscs","Montipora","Neomeris","Padina","Paramontastrea","Pavona","Platygyra","Plesiastrea","Pocillopora","Porites","Psammocora","Sand","Sarcophyton","Soft_Coral","Stylocoeniella","Turbinaria","Turbinaria_algae","Turf_algae","Turf_and_sand","Ulva"
"1A",0,0,0,0,0.73529565,0,0,0,0,0,0.2778,0.06945,0,0,0.07353485,0,0,0,0,0,0,0,0,0,0,0,0.1470697,0,0,0,0,0,0,0,0,0,0,0,9.8611,0,0,0,0,0,0,88.6927649,0
"1B",0,0,0,0,8.13621485,0,0,0,0,0,1.7612934,0.210333,0,0,0,0,0,0,0,0,0,0,0,0,0.1388986,0.30305345,0,0,0,0,0,0,0,0,0,0.147197,0,0,2.58274235,0.4370069,0,0,0,0,3.08161875,82.5497177,0
"1C",0.0694493,0,0,0,11.38318001,1.176451905,0,0,0,0,2.41105367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1389,0,0,0,0,0,0.55257601,0,0,0.8333,0,0,0,0,0,5.8851596,75.822752175,0
"2A",0.0694486,0.0909061,0,1.92593812,15.944113165,0.285966925,0,0.42066891,0,0.70635365,0,0.13889931,0,0.84926537,0,0,0.1389,0.046299535,0,0,0.14286743,0,0,0,0.988357275,0.4166972,0,0,1.3889,0,0,0,0,0,0,1.620530865,0.379811505,0.07353486,5.549545905,0.86163887,0.1388972,0,0,0,4.034271345,53.43809101,0.13889861
"2B",0.07813115,0.2900199,0.41665,0.617968695,21.250683735,0,0,0.727121125,0,0,0,0,0,0.147068165,0.147068165,0,0,0,0,0,0,0,0,0,2.02772426,0,0,0.1389,0,0,0,0,0,0,0,1.785650525,1.341508515,0,1.99707536,0,0.1470713,0,0,0,10.54510551,47.68106865,0
"2C",0.06944861,0,0.1389,0.7938273,20.135741475,1.69047766,0.14706815,0.98858231,0.1389,0.1388986,0,0.06944861,0,0,0,0,0,0.09259815,0,0,0,0,0,0.0735341,1.25820166,0,0,0,0,0,0,0,0,0,0,0.912959605,1.354810275,0,2.14037602,2.3611,0,0,0,0,9.471127055,50.31242237,0.27779583
"3A",0,0.72712775,0.56371715,0.189407485,36.070199475,3.52944445,0,0.42066317,0,0.4166958,0,0.35355986,0,0.1428689,0.13889861,0,0.2777972,0.046299535,0,0,0,0,0,0,0.1388986,0.72712456,0,0,0,0.1470697,0,0,0,0,0,1.350137595,0.092599535,0,1.299064,0.83330415,0.55554445,0,0,0,9.98106096,33.61272421,0.2777972
"3B",0,1.65865913,0,0.968623785,25.284591565,11.60922204,0,0.28573485,0,0.28573635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147068165,0,0,0,0,0,0,0,0,0,0,2.5945264,0,0,0,0,0,0,0,0,13.565842,27.09746388,0.147068165
"3C",0.06944861,0.27272925,0,0.236771835,21.781836615,3.18260312,0.2777972,0.433036665,0.2777972,0.14286596,0,0,0,0,0.071433715,0,0.42463052,0,0,0,0.42883575,0,0,0,1.1470888,0,0.28596692,0,0,0,0,0,0,0,0,0.71664457,0.721443275,0,0.85370116,0.83731603,0,0,0,0,22.368493655,39.464763075,0.70663286
"4A",0.14088085,0.0555589,0.14286595,0.047621985,22.305188275,0.4459176,0.27779583,0,0.15152505,0.43280153,0,0,0,1.153076905,0.069449305,0,0,0.047622475,0.1470697,0,0.14286596,0.14286745,0,0,1.282297815,1.8613186,0,0,0,0,1.70665215,0,0,0,0.60604575,1.168718245,1.386979205,0.218501865,1.83369282,0.43280458,0,0.14286595,0,0,33.736450895,22.2101113,0.58878356
