"HC";"SC";"Oursin";"Mollusc";"Sand";"Dead_Coral";"Cyanobacteria";"CCA";"Other_red_alg";"Green_alg";"Brown_alg";"Turf";"Turf_sand"
"1A";0,4330394462;0,1470697231;0;0;9,8611;0;0;0,7352956745;0;0,1389;0;0;88,831664879
"1B";1,0094539729;0,7400603182;0;0;2,58274237295;0;0;8,1362150709;0,138898611;1,7612934406;0;3,08161859295;82,5497176205
"1C";2,3492025492;1,176451903;0;0;0,8333;0;0;11,38318005205;0;2,54995371405;0;5,8851596225;75,82275216
"2A";15,3554602107;1,433831715;0,8534661235;0;5,28785014575;0,4285508573;0,4246378765;16,94156691825;1,00026130725;0,138898611;0;4,47450841115;53,660967823
"2B";14,5785722669;0,14707128035;0,1470697231;0,142868898;2,1486458532;0;0,7271273405;21,31876678025;2,02772425635;0;0;10,58953212235;48,172621477
"2C";9,76240780485;3,999985306;0;0;2,32061188855;0,138898611;0,857856055;20,63566692;1,43328303345;0,277797222;0;9,70809485885;50,8653982995
"3A";11,41821679675;5,22881069305;0,142868898;0;1,29906262;0,4166930551;0,42066465055;36,638406162;0,138898611;0,4248683341;0;9,9810612225;33,890448955
"3B";21,7114102544;11,8949567195;0;0;0;0,2857363265;0,285734857;25,388478785;0,14706816595;0,14706816595;0;13,37108266635;27,054198918
"3C";9,0816623389;4,30588605665;0;0;0,8537012382;0,142865959;0,4330366683;21,78183645835;1,1470888251;0,70663290415;0;22,368493572;39,4647629225
"4A";9,92127191935;2,5982907149;1,16789731585;0;1,83369542465;0,4328031106;0;23,0706162007;1,2909584891;0,59744281815;1,7108572394;35,22491532375;22,2941174019
"4B";12,19136105595;4,0243115216;1,2823064556;0;1,5845062558;1,08037299;0,1389;7,7789323625;0,27779722205;0,4328059619;2,6840731531;18,81771063585;50,8378581025
"4C";11,8393309546;1,1428483265;2,62651259125;0;1,9897526732;0,15626054675;0,4167;6,41986530035;0,7332366718;0;4,8253639698;4,5251118468;66,467865446
"5A";12,29268328755;0,9166260002;1,12309811855;0,15626230465;2,38919432615;0,1428674285;0;4,37960505765;1,13649299465;0;3,14010934815;13,08760415575;61,23545697865
"5B";14,9192924368;4,55247353655;0,84998416335;0;1,1312607358;0,142868898;0;5,5797133113;0,14706816595;0,2817660395;0,8539557588;14,51566693545;57,025950018
"5C";22,1155071278;1,11507020605;1,58808902195;0;0,71877291425;0,41664583355;0;3,68674171585;0,89985742515;0,27779444415;1,99436129975;4,61247334355;63,5468894465
"6A";35,5352463654;1,69100729945;0,277797222;0,1470697231;10,24487011665;0,3125210935;0;3,8317539249;1,13570811685;0,4288371516;0,277797222;3,70059634515;42,9966666075
"6B";31,8941180142;1,24998611105;0,4206646505;0;2,9947040632;0,5803580687;0;8,14845415105;1,2869866377;0;0,5595590141;7,0761657979;46,900092381
"6C";37,60204226315;1,50897968395;0,3137479468;0;5,04769312055;0;0;8,6545152926;1,022887949;0;0,138898611;6,5617510494;39,14948408155
"7A";15,8695326180526;4,71776430405263;0,593188568473684;0;1,50013373310526;0;0;0,775910129631579;0,765400832631579;2,01792533431579;0,778691840789474;12,9416860884211;60,3637532589474
"7B";13,13186164755;4,46538538355;0,13889722205;0,28176465055;2,3172573884;1,9476700047;0;5,4240565629;1,02834028545;3,8082869636;0,285734857;9,843044293;57,327700742
"7C";11,8538008451111;4,49141715388889;0,308665123333333;0;2,75706620661111;3,11762945188889;0,158741587222222;3,17297309155556;2,83511015238889;3,0084995985;0,798914473666667;20,3775542517222;47,1196280627222
"9A";25,98679496425;4,6441203334;0;0;1,7262233427;1,0344315486;0;18,5523565247;7,0305995397;1,63346203495;0;8,2323779075;31,15963380545
"9B";36,8729162837778;1,27944944138889;0;0;1,90478149616667;0,158739954444444;0;20,8147672406667;2,55899240833333;3,946852128;0;11,9352269603889;20,5282740867222
"9C";19,3143313295;5,23603242805;0;0;2,9603333015;0;0;16,7401650843;6,30611452455;2,19136473015;0;9,1564577286;38,09520087425
