"latitude","longitude","incubation","season","sanctuary","locality","site","abc","station","prefixe","arms_name","arms_number","b_m_t","o_c","plate_number","Orientation","arms_campaign","image_id","image_name"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"B","C",1,"U","RUNARMS",1959074,"RUNARMS1A_1U.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"B","C",2,"D","RUNARMS",1959075,"RUNARMS1A_2D.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"B","O",2,"U","RUNARMS",1959076,"RUNARMS1A_2U.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"B","O",3,"D","RUNARMS",1959077,"RUNARMS1A_3D.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"M","C",3,"U","RUNARMS",1959078,"RUNARMS1A_3U.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"M","C",4,"D","RUNARMS",1959079,"RUNARMS1A_4D.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"M","O",4,"U","RUNARMS",1959080,"RUNARMS1A_4U.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"M","O",5,"D","RUNARMS",1959081,"RUNARMS1A_5D.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"M","C",5,"U","RUNARMS",1960442,"RUNARMS1A_5U.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"M","C",6,"D","RUNARMS",1960443,"RUNARMS1A_6D.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"M","O",6,"U","RUNARMS",1960444,"RUNARMS1A_6U.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"M","O",7,"D","RUNARMS",1960445,"RUNARMS1A_7D.jpg"
-21.0206,55.22983,2,"ETE","NON","Saint-Paul","Pain de sucre","A","RUNARMS1","RUNA","RUNA1A",1,"T","C",7,"U","RUNARMS",1960446,"RUNARMS1A_7U.jpg"
