date;season;max.RUNA1;max.RUNA2;maxRUNA3;max.RUNA8;max.RUNA9;mean.RUNA1;mean.RUNA2;mean.RUNA3;mean.RUNA8;mean.RUNA9;amp.RUNA1;amp.RUNA2;amp.RUNA3;amp.RUNA8;amp.RUNA9;sd.RUNA1;sd.RUNA2;sd.RUNA3;sd.RUNA8;sd.RUNA9
20.02.21;summer;27,776;28,468;28,468;28,493;27,801;27,498125;28,20425;28,13108333;28,16925;27,59258333;0,885;0,544;0,791;0,717;1,13;0,255751631;0,150821014;0,214281391;0,197008993;0,303124299
20.02.22;summer;27,628;28,345;28,345;28,369;27,505;27,30870833;28,164125;28,15891667;28,18991667;27,29941667;1,202;0,347;0,618;0,618;0,834;0,315196623;0,095238973;0,126190648;0,125699752;0,220788491
20.02.23;summer;28,32;28,221;28,27;28,419;28,32;27,67325;27,92541667;28,105375;28,138375;27,8145;1,233;0,863;0,42;0,569;1,134;0,454810352;0,230653498;0,095428012;0,122022027;0,299166087
20.02.24;summer;28,345;28,543;28,196;28,221;28,369;28,10841667;27,90079167;27,98916667;28,02304167;28,06729167;0,371;2,239;0,838;0,839;0,47;0,112498084;0,603207224;0,165481029;0,165439199;0,138479155
20.02.25;summer;28,419;28,419;28,097;28,147;28,196;28,08391667;27,82879167;27,91091667;27,94675;28,0405;0,988;2,066;0,567;0,543;0,691;0,185366363;0,594383713;0,123470791;0,120024726;0,136269873
20.02.26;summer;28,122;28,147;28,171;28,196;28,072;28,02820833;27,64966667;27,95404167;27,98279167;27,97966667;0,272;1,794;0,395;0,371;0,173;0,047287262;0,479071989;0,094385647;0,091581268;0,06283219
20.02.27;summer;28,122;28,221;28,32;28,345;28,171;28,029125;27,83708333;28,060125;28,09525;28,00345833;0,247;1,158;0,495;0,47;0,395;0,057413309;0,296950577;0,180310677;0,173651638;0,099607045
20.02.28;summer;28,147;28,394;28,444;28,468;28,295;27,976625;28,054;28,16508333;28,19295833;28,060125;0,666;0,963;0,545;0,544;0,593;0,155782126;0,221419138;0,135808022;0,129731991;0,171340067
20.02.29;summer;28,27;28,345;28,493;28,518;28,593;27,975625;28,131125;28,27241667;28,30441667;28,10558333;0,814;0,396;0,47;0,446;0,792;0,176845256;0,112455716;0,130759293;0,128051931;0,222272633
20.03.01;summer;28,345;28,419;28,916;28,941;28,543;28,188875;28,14058333;28,3655;28,39545833;28,27245833;0,297;0,865;1,091;1,116;0,446;0,096546593;0,211512754;0,277277917;0,27494252;0,115615923
20.03.02;summer;28,766;28,493;28,717;28,742;28,866;28,474875;28,19525;28,414875;28,448125;28,54308333;0,644;1,504;0,892;0,917;0,794;0,210919171;0,315603253;0,228363804;0,228919259;0,213949794
20.03.03;summer;28,419;28,518;28,568;28,593;28,345;28,09104167;28,226;28,136875;28,16470833;28,13945833;0,914;0,717;1,481;1,457;0,544;0,193392927;0,159659148;0,411739714;0,416560083;0,143470336
20.03.04;summer;28,221;28,667;28,617;28,642;28,245;27,99833333;28,26541667;28,24275;28,27791667;28,14454167;0,544;1,137;1,186;1,235;0,321;0,130710322;0,294372423;0,30565699;0,311778896;0,088115527
20.03.05;summer;28,419;28,941;28,717;28,742;28,394;28,19508333;28,505125;28,26833333;28,301375;28,19608333;0,495;1,485;0,916;0,867;0,519;0,159076388;0,336671988;0,23831139;0,230390937;0,114082699
20.03.06;summer;28,841;28,816;28,791;28,816;28,518;28,38304167;28,67129167;28,51829167;28,55441667;28,36208333;0,917;0,471;0,743;0,694;0,421;0,231966167;0,103676537;0,200837481;0,201236162;0,120544387
20.03.07;summer;28,568;28,742;28,742;28,766;28,518;28,465375;28,62154167;28,58020833;28,610125;28,435375;0,248;0,348;0,521;0,521;0,223;0,070549898;0,093149706;0,117296717;0,117798395;0,050873084
20.03.08;summer;28,419;28,866;28,841;28,891;28,419;28,03858333;28,64441667;28,50679167;28,53770833;28,05504167;0,692;0,373;0,645;0,67;1,111;0,193661497;0,118023548;0,161177186;0,16489034;0,266522612
20.03.09;summer;27,949;29,065;28,642;28,692;27,825;26,170125;28,79345833;28,44075;28,47375;26,88241667;2,375;0,398;0,644;0,669;1,325;0,542818675;0,126237175;0,205284797;0,207885472;0,342464205
20.03.10;summer;28,221;28,816;28,791;28,816;28,394;27,21283333;28,67016667;28,66591667;28,697125;28,079375;2,234;0,447;0,298;0,298;1,772;0,8936788;0,10887794;0,073766327;0,074367076;0,462061243
20.03.11;summer;28,245;28,891;28,742;28,766;28,345;27,265;28,55329167;28,58216667;28,61425;27,817375;2,087;0,522;0,274;0,273;0,889;0,454965168;0,137932081;0,08231523;0,083315665;0,255480249
20.03.12;summer;27,431;28,99;28,692;28,717;27,998;27,01691667;28,63295833;28,54191667;28,57195833;27,486875;0,931;0,546;0,644;0,57;0,862;0,205915752;0,174186427;0,143032352;0,134731127;0,234010649
20.03.13;summer;27,998;28,891;28,568;28,593;28,295;27,231375;28,62783333;28,40041667;28,42525;27,7405;1,523;0,695;0,594;0,595;1,159;0,481371393;0,163702983;0,146430252;0,150723545;0,302466096
20.03.14;summer;27,949;29,04;28,742;28,766;28,122;27,3805;28,60520833;28,50170833;28,526375;27,78845833;1,18;1,19;0,595;0,595;0,715;0,304241037;0,231991188;0,150618285;0,151298672;0,174125637
20.03.15;summer;28,048;28,941;28,642;28,667;27,998;27,69945833;28,60604167;28,47883333;28,514;27,67579167;1,353;0,497;0,372;0,347;1,254;0,346276464;0,125232472;0,10188513;0,097998225;0,329228344
20.03.16;summer;28,072;28,667;28,766;28,766;28,27;27,42166667;28,56358333;28,46541667;28,48925;27,78041667;1,719;0,322;0,669;0,619;0,937;0,433631648;0,079302896;0,16949642;0,160889444;0,298103559
20.03.17;summer;28,345;28,543;28,617;28,642;28,394;27,93483333;28,29941667;28,38695833;28,423;28,10441667;1,625;1,554;0,569;0,545;0,717;0,334185013;0,323117951;0,151719845;0,1434661;0,165967497
20.03.18;summer;28,543;28,369;28,568;28,593;28,493;28,33225;28,223;28,41479167;28,443875;28,288875;0,569;0,864;0,323;0,298;0,421;0,13481751;0,180345803;0,120586602;0,119559086;0,128103665
20.03.19;summer;28,518;28,295;28,419;28,444;28,468;28,31575;27,86083333;28,14895833;28,17966667;28,28783333;0,52;1,379;1,233;1,16;0,321;0,139356362;0,368808619;0,255872842;0,237959563;0,084586805
20.03.20;summer;28,369;28,245;28,122;28,122;28,245;28,08066667;28,01995833;27,89641667;27,928375;28,05591667;0,692;0,42;0,814;0,814;0,518;0,155504975;0,149087217;0,153384687;0,157770007;0,127460792
20.03.21;summer;28,048;28,245;28,27;28,32;28,097;27,849125;28,07241667;27,99920833;28,0375;27,89133333;0,715;0,666;0,543;0,569;0,444;0,145684983;0,154425982;0,18206544;0,184380042;0,102594884
20.03.22;summer;27,899;28,32;28,245;28,295;27,924;27,583125;28,11566667;27,96441667;28,00358333;27,72970833;0,713;0,544;0,937;0,913;0,419;0,154806278;0,125228024;0,279198685;0,265497223;0,115141304
