latitude;longitude;incubation;season;sanctuary;locality;site;abc;station;prefixe;arms_name;arms_number;b_m_t;o_c;plate_number;Orientation;arms_campaign;image_id;image_name;Bivalvia;Calc_worm_tube;Hydrozoa;msp10_spo;msp11_spo;msp12_spo;msp15_spo;msp14_spo;msp16_spo;msp18_spo;msp19_spo;msp1_spo;msp20_spo;msp21_spo;msp22_spo;msp23_spo;msp24_spo;msp25_spo;msp26_spo;msp27_spo;msp28_spo;msp29_spo;msp2_spo;msp30_spo;msp31_spo;msp33_spo;msp34_spo;msp35_spo;msp36_spo;msp37_spo;msp38_spo;msp3_spo;msp4_spo;msp5_spo;msp7_spo;msp8_spo;msp9_spo;Pina_sp;Cirripedia;Soft_worm_tube;Other_Chordata;Miniacina_sp_(r)_for;Miniacina_sp_(a)_for;Miniacina_sp_(j)_for;Parasmittina_margaritata_bryo;msp12_bryo;msp14_bryo;Schizomavella_sp_bryo;Smittoidea_cautela_bryo;Watersipora_subtorquata_bryo;Smittipora_harmeriana_bryo;Disporella_novaehollandiae_bryo;msp5_bryo;Crisia_elongata_bryo;Tubulipora_sp_bryo;Scrupocellaria_sp_bryo;Red_biofilm;Green_biofilm;Cyanobacteria;Lissoclinum_sp1_ascc;Ascidia_archaia_ascs;Didemnidae_sp1_ascc;Lissoclinum_sp2_ascc;Cystodystes_sp_ascc;Polysyncraton_milleporae_ascc;Botryllus_sp1_ascc;msp15_ascc;Botryllus_gregalis_ascc;msp17_ascc;Botryllus_sp2_ascc;Aplidium_sp_ascc;Polycarpa_sp_ascs;Trididemnum_sp_ascc;Botryllus_sp3_ascc;Botryllus_tuberatus_ascc;Botryllus_sp6_ascc;Eusynstyela_hartmeyeri_ascc;msp2_ascs;Botryllus_sp4_ascc;Styela_canopus_ascs;Didemnidae_sp2_ascc;Ascidia_sydneiensis_ascs;Botryllus_sp5_ascc;msp5_ascs;Polysyncraton_rostrum_ascc;msp6_ascs;msp7_ascc;Didemnidae_sp3_ascc;Ascidia_fictile_ascs;msp9_ascc;msp9_ascs;Brown_upright_macroalgae;CCA;Green_encr_macroalgae;Green_upright_macroalgae;Red_upright_Macroalgae
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;B;C;1;U;CINARMS;2462690;CINARMS10_1U.jpg;0;29,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,111;0;0;0;0;0;3,704;0;0;0;0;3,704;0;0;3,704;18,519;0;0;0;0;0;0;0;0;0;0;0;0;3,704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,519;0;0;3,704
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;B;C;2;D;CINARMS;2462691;CINARMS10_2D.jpg;0;3,448;6,897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,448;0;0;0;0;0;24,138;0;0;0;20,69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41,379;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;B;O;2;U;CINARMS;2462692;CINARMS10_2U.jpg;0;21,428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,382;0;21,428;0;0;2,382;0;0;0;0;0;7,143;0;0;0;0;0;11,905;0;0;0;0;0;0;0;0;4,762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,19;0;2,382;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;B;O;3;D;CINARMS;2462693;CINARMS10_3D.jpg;0;38,636;2,273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,545;0;0;0;0;0;0;0;2,273;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,273;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;C;3;U;CINARMS;2462694;CINARMS10_3U.jpg;0;15,789;0;0;0;0;0;0;0;0;0;0;5,264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,525;0;0;0;0;0;0;0;0;5,264;0;5,264;0;10,525;0;5,264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,842;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;C;4;D;CINARMS;2462695;CINARMS10_4D.jpg;0;26,087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,391;4,348;8,696;0;13,043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,696;0;0;0;0;17,391;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;O;4;U;CINARMS;2462696;CINARMS10_4U.jpg;0;21,429;2,381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,81;0;0;0;0;0;0;0;0;11,905;0;0;0;0;0;4,762;0;0;0;0;0;0;0;0;0;0;0;2,381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,19;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;O;5;D;CINARMS;2462697;CINARMS10_5D.jpg;0;25;2,084;0;0;0;6,249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,167;0;0;0;0;0;0;0;0;39,582;0;0;0;2,084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,084;0;0;0;2,084;16,667;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;C;5;U;CINARMS;2462698;CINARMS10_5U.jpg;0;20;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;4;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0
-21,10401;55,23598;1;HIVER;OUI;La Saline;Sanctuaire S;NA;CINARMS10;CINA;CINA4A;10;M;C;6;D;CINARMS;2462699;CINARMS10_6D.jpg;0;9,525;4,762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,762;33,333;0;0;0;19,047;4,762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,762;0;0;0;0;0;0;0;0;0;0;0;19,047;0;0;0
