arms;CCA;Calc_worm_tube;Hydrozoa;msp5_bryo;Red_biofilm;Miniacina_sp_.r._for;Cyanobacteria;Green_biofilm;Bivalvia;Miniacina_sp_.j._for;Disporella_novaehollandiae_bryo;msp3_spo;msp15_spo;msp12_spo;Soft_worm_tube;Tubulipora_sp_bryo;msp20_spo;Polycarpa_sp_ascs;Crisia_elongata_bryo;msp14_bryo;Didemnidae_sp2_ascc;msp9_spo;Miniacina_sp_.a._for;Red_upright_Macroalgae;msp15_ascc;Didemnidae_sp1_ascc;Didemnidae_sp3_ascc;Aplidium_sp_ascc;Watersipora_subtorquata_bryo;msp10_spo;msp4_spo;Polysyncraton_rostrum_ascc;Brown_upright_macroalgae;msp8_spo;msp1_spo;Schizomavella_sp_bryo;msp18_spo;Scrupocellaria_sp_bryo;Lissoclinum_sp1_ascc;Smittipora_harmeriana_bryo;msp9_ascc;msp33_spo;Parasmittina_margaritata_bryo;msp24_spo;msp30_spo;Pina_sp;msp14_spo;Botryllus_sp1_ascc;Styela_canopus_ascs;msp11_spo;msp29_spo;msp5_spo;msp7_spo;Cirripedia;Smittoidea_cautela_bryo;msp5_ascs;msp25_spo;msp27_spo;msp28_spo;msp12_bryo
RUNA1A;27.9402241602273;17.3025755081276;9.67884237112827;8.61029929249425;3.38313137116436;4.51465726467055;2.12406917263039;3.80039617584168;1.17052333150291;0;1.82026057547421;2.71868560564394;0;2.2778512723449;0.312496875031249;0.635370066299336;1.0069945651087;0.936056798004613;6.36006307961141;0;0;0.312496875031249;0;0;0;0;0.475909267924751;0;0.427991440171196;0;1.12248863724597;0.506739865202696;0.260382811484344;0.297627976279763;0;0;0;0.453059121317574;0;0.792572689952443;0;0;0;0.260382811484344;0;0.168934121317574;0;0;0;0;0;0;0;0;0;0;0;0.328916897282401;0;0
RUNA1B;31.7033108767379;15.238467866836;9.68712783362369;5.30296352785088;4.96515048536013;4.69799856438635;1.50463129160421;4.5128602133422;2.4798220514487;0;0.2604375;1.4882397136999;2.69873262901988;0;0.510442500100002;0.271753307734046;1.83416699757146;0.85225;4.13236747833505;0;0.3571875;0;0;0;0.2840625;0.347125;0;0;0;0.403245967540324;1.41037044488392;0;0;1.07896100796469;0.78125;0;0;0.3571875;0;0;0;0;0;0;0;1.99997749954999;0.839909742410721;0;0;0;0;0;0;0;0;0;0;0;0;0
RUNA1C;30.1369447131257;15.2970079349254;3.88239995499874;5.20631328211155;8.1839062324353;1.86862793948447;6.25081656714339;2.26474453471228;0;3.77331838017265;1.27404654049706;2.99995389212355;1.08438425893518;4.32675382287847;0.23151989048824;0.694388887777756;1.0365931713953;0.431008620172403;0.917636408283721;0;0.892847257589513;0.435995640043599;0;0.145373546264537;0;0.553320188244983;0.775065120728096;0;0.722259377636878;1.140913078352;0.215504310086202;0;0.828201222774456;0.462910150578669;0.215504310086202;0;0;0;0;0;0;0;0.337815878158781;0.755692363332316;0.223229113615731;0;0;0;0;0;0;0;0.2840625;0;0;0;0.588440910846841;0;1.5625;0
RUNA2A;38.0934754503778;17.7072804946783;5.46506274063632;2.43776640683164;5.92939482431933;2.18193562234789;7.95932607515058;2.94948654970517;2.78703255712862;2.54704063464291;0.443;1.95006522728896;0;0.390636719101573;0.383440361355302;0.1488125;0;0.260424804941821;0;0.260424804941821;0;0.446375;0.271785444717684;0.208370832583348;1.04160416791664;0;0;0.990003493357934;0.297625;0.260424804941821;0.999984499969;0;0.480156277301032;0.208370832583348;0.2155625;0;0;0;0;0;0;0;0.145375;0;0;0;0.543557064429355;0;0;1.041625;0;0.390636719101573;0.368619230099373;0;0;0;0;0;0;0.195318359550786
RUNA2B;40.6934053291856;14.8036496560626;3.71387166533984;9.46844258330803;6.33697851220493;5.66047767788951;2.95197335571918;2.51723948103713;0.332623161893381;2.85887116195722;0.145372092558149;0.784426046995876;3.41174042687551;1.00174218781249;0.892946429464294;0;0;1.07887016385789;0;0.347246527534724;0.208348402963636;0;0.533120565971269;0;0;0;0;0;0;0.173623263767363;0;0;0.260481770833333;0.429497092558149;0;0;0;0.208316666333327;0;0;0;0;0.1488125;0;0;0;0.201625;0;0;0.6409935900641;0;0;0.195304687812487;0;0;0;0;0;0;0
RUNA2C;37.8050302885563;14.0871465302997;7.83417547548679;5.3796557131673;5.40776642182387;7.99761277292311;1.2993719618494;4.39550855422881;1.11302072226567;0.297656462798835;0.581219272894872;0.600108081452644;0.538036270394987;1.68443874117747;2.7674369281803;0.201627016270162;0;0.585949218984379;0;0;0.195316406328126;0;1.3595982080899;0;0;0;0;2.06168039706869;0.397005923848314;0;0;0.520838830893296;0.499280360778046;0.223247767522325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.604756047560476;1.56251562515625;0;0;0;0;0;0;0;0;0;0
RUNA3A;25.4946502769001;22.0388864134439;3.48349472011214;6.20419448824884;6.03945886390767;15.0316941897176;0.988184970723819;3.30346633849852;0.488692386923869;2.00058649085327;0.201622983770162;1.11785902188717;1.25666848391445;1.57301739356523;0.628063571937807;0;0;0.424890443816357;0;0;4.17566699666451;0;0.312496875031249;0.168935810641894;0;0;1.41777825993428;0;0.168920745089136;0;0;0;0.536564486928657;0.520807291927081;0;0;0;0;1.45083400863365;0;0;0;0.168935810641894;0.803628676286763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RUNA3B;32.9590273486519;15.675299583325;4.90306516890966;10.0715918350534;6.80093660477284;6.60852210590421;1.39124861496064;2.11368931805163;0.882644086017582;5.36130385712861;1.30431727140559;0.896161803142474;1.63617625727299;2.34013285270352;1.03275653964164;0.240379807596152;0.223255898253827;0.208372916270838;0;0.446428571428572;0;0;0.902984051136106;0;0.223255898253827;0;0.195308593828123;0.223255898253827;0;0.400631410112177;0;0;1.02562516017468;0;0;0;0.416620833791662;0;0.208372916270838;0.178564285642856;0;0;0.1525;0;0;0.240379807596152;0.416687499416669;0;0;0;0;0;0;0;0;0;0;0;0.320503205032051;0
RUNA3C;22.3387038413318;20.7975223798714;12.801577216368;1.70844956570042;2.56464399051005;1.5671854007145;0.358318065361168;0.498879310413728;1.88762626799426;0.325256046646366;0.135877717554351;1.35707289444498;0.135877717554351;1.81962549677258;1.12527435211975;0.520051471580853;4.62882921303405;0.574124540417788;9.64368430213891;0.168939736269153;1.50854389673235;1.90530322298895;0;0.304817453823504;1.04125837121574;0;1.45198927579971;0;0;1.40605605440821;0.758238971580853;0.536624856626739;0;0.173623263767363;1.13683542103971;0;0;0;0.735352939411819;0;0;0;0;0;1.08898690044139;2.18745734415523;0;0;0;0;0;0;0;0;0;0;0;0.416767501210015;0.390625;0
RUNA4A;27.3891363553685;18.5912287166287;6.03342725158938;13.95847266406;3.86375465955362;3.79809129055893;7.49083729158454;2.97370746795985;0.902720745408734;0.286440442497433;0.75489257865236;0.890559217676504;2.51361130140078;0.240368527896134;0.5218125;2.5712692896597;0;0.772308534010331;0.929481974850027;0.703132187507891;1.99450857157204;0;0.1689375;0.240368527896134;0;0;0.286440442497433;0.848163898512319;0.156251562515625;0;0;0;0;0;0;0.2718125;0;0;0;0;0;0;0;0;0;0.5434375;0;0;0;0;0;0;0;0;0;0;0.304826500143041;0;0;0
