"","RUNA1","RUNA2_3","RUNA4_6","RUNA7","RUNA8","RUNA9","date"
"1","0.06284998","-0.12546086","-0.34404784","-0.39379013","-0.2954309","-0.12589802","2021-01-01"
"2","0.063776679","-0.125261113","-0.344151288","-0.394403756","-0.296547621","-0.125780135","2021-01-02"
"3","0.064316861","-0.125440776","-0.343831927","-0.393814772","-0.297536135","-0.125636503","2021-01-03"
"4","0.088723116","-0.125147447","-0.330723912","-0.382549852","-0.294770747","-0.10677167","2021-01-04"
"5","0.090173848","-0.125047565","-0.331306994","-0.383770108","-0.296352655","-0.107364379","2021-01-05"
"6","0.091471672","-0.125135928","-0.330824077","-0.384170651","-0.297809839","-0.10785313","2021-01-06"
"7","0.081057183","-0.152027175","-0.368200421","-0.368900925","-0.24257198","-0.109081537","2021-01-07"
"8","0.083215982","-0.151689604","-0.36942625","-0.370617807","-0.244189188","-0.109983876","2021-01-08"
"9","0.086304165","-0.151674613","-0.370543718","-0.372182637","-0.245717779","-0.110780813","2021-01-09"
"10","0.110249832","-0.098802947","-0.29873684","-0.34517622","-0.262037396","-0.104804434","2021-01-10"
"11","0.111656874","-0.097390771","-0.298646837","-0.345914632","-0.263276994","-0.104864538","2021-01-11"
"12","0.110474266","-0.098593026","-0.301346391","-0.347529173","-0.26438269","-0.104880273","2021-01-12"
"13","0.08751411","-0.094700232","-0.282084405","-0.353491068","-0.313600808","-0.110431828","2021-01-13"
"14","0.088972494","-0.094351888","-0.282272965","-0.353782564","-0.314553797","-0.110375606","2021-01-14"
"15","0.0910079628","-0.0930269584","-0.2812063396","-0.3527438641","-0.3152986467","-0.1102563217","2021-01-15"
"16","0.2184733897","0.0357710868","-0.1423422396","-0.2568306625","-0.3320055604","-0.1391807795","2021-01-16"
"17","0.219021976","0.035453189","-0.143688306","-0.257138222","-0.332353324","-0.139084578","2021-01-17"
"18","0.219150528","0.034444816","-0.145832837","-0.258033335","-0.332129091","-0.138874903","2021-01-18"
"19","0.291878849","0.074228823","-0.119022772","-0.241279736","-0.300102174","-0.125512615","2021-01-19"
"20","0.29201737","0.073390506","-0.121077947","-0.242396116","-0.300777406","-0.125708327","2021-01-20"
"21","0.291877329","0.071212053","-0.125686035","-0.24363929","-0.301100373","-0.125774041","2021-01-21"
"22","0.246233985","0.030114762","-0.170814812","-0.28823328","-0.326312244","-0.14397417","2021-01-22"
"23","0.24756916","0.03143454","-0.17019646","-0.28867921","-0.32747442","-0.14427204","2021-01-23"
