"","RUNA1","RUNA2_3","RUNA4_6","RUNA7","RUNA8","RUNA9","date"
"1","35.39752","35.47054","35.51975","35.41358","35.4462","34.65371","2021-01-01"
"2","35.3849","35.46391","35.51487","35.41456","35.44416","34.64796","2021-01-02"
"3","35.37622","35.46149","35.51371","35.42983","35.44297","34.6408","2021-01-03"
"4","35.36793","35.46112","35.51252","35.44129","35.43955","34.63067","2021-01-04"
"5","35.36662","35.45419","35.50576","35.44699","35.43758","34.61251","2021-01-05"
"6","35.36785","35.45044","35.50307","35.44428","35.43571","34.59213","2021-01-06"
"7","35.37677","35.44711","35.50173","35.4477","35.43463","34.57985","2021-01-07"
"8","35.38718","35.44312","35.50097","35.44643","35.43356","34.5741","2021-01-08"
"9","35.39462","35.44094","35.49894","35.43613","35.43239","34.57636","2021-01-09"
"10","35.40123","35.43809","35.49588","35.42487","35.43097","34.58493","2021-01-10"
"11","35.40458","35.43936","35.49723","35.41868","35.42894","34.59009","2021-01-11"
"12","35.40445","35.43686","35.4968","35.41547","35.42659","34.59127","2021-01-12"
"13","35.41373","35.43418","35.49276","35.41059","35.42485","34.59274","2021-01-13"
"14","35.42015","35.43603","35.49541","35.41539","35.42632","34.58649","2021-01-14"
"15","35.42114","35.43652","35.49661","35.42265","35.42622","34.57949","2021-01-15"
"16","35.42059","35.43481","35.49566","35.42787","35.42625","34.57182","2021-01-16"
"17","35.41906","35.43145","35.49051","35.42551","35.42423","34.56289","2021-01-17"
"18","35.41927","35.42998","35.4885","35.42093","35.42209","34.55458","2021-01-18"
"19","35.42239","35.42895","35.48899","35.41904","35.4241","34.54781","2021-01-19"
"20","35.42608","35.43184","35.49152","35.42008","35.42496","34.54223","2021-01-20"
"21","35.43144","35.44002","35.49799","35.42838","35.43269","34.53701","2021-01-21"
"22","35.43458","35.44275","35.49453","35.43299","35.44458","34.53239","2021-01-22"
"23","35.43585","35.45026","35.49744","35.43194","35.45316","34.529","2021-01-23"
"24","35.43685","35.45942","35.49998","35.43543","35.4638","34.52569","2021-01-24"
"25","35.43716","35.46547","35.50274","35.44033","35.46896","34.52375","2021-01-25"
"26","35.4375","35.46867","35.50388","35.4422","35.47004","34.52337","2021-01-26"
"27","35.43927","35.47042","35.50446","35.44191","35.46922","34.52419","2021-01-27"
"28","35.44442","35.47703","35.50817","35.44815","35.47246","34.52721","2021-01-28"
"29","35.44927","35.48399","35.51175","35.453","35.47461","34.5308","2021-01-29"
"30","35.45448","35.48852","35.51471","35.46166","35.477","34.5342","2021-01-30"
"31","35.45672","35.4923","35.51745","35.47318","35.4801","34.53658","2021-01-31"
"32","35.45469","35.49495","35.51974","35.48164","35.48141","34.53919","2021-02-01"
"33","35.45261","35.49796","35.52296","35.48496","35.48298","34.54057","2021-02-02"
"34","35.4513","35.4998","35.52714","35.48661","35.48502","34.54177","2021-02-03"
"35","35.45015","35.50377","35.53503","35.48936","35.48817","34.54322","2021-02-04"
"36","35.45104","35.50903","35.54031","35.4865","35.49198","34.54478","2021-02-05"
"37","35.45485","35.51426","35.54398","35.48709","35.49461","34.54448","2021-02-06"
"38","35.46216","35.52012","35.54678","35.48841","35.49742","34.54589","2021-02-07"
"39","35.46586","35.52557","35.54931","35.49185","35.49975","34.54673","2021-02-08"
"40","35.4665","35.52733","35.55074","35.48898","35.50084","34.54911","2021-02-09"
"41","35.47151","35.52905","35.55199","35.48558","35.50185","34.5482","2021-02-10"
"42","35.47581","35.53391","35.55335","35.48814","35.5045","34.54878","2021-02-11"
"43","35.48246","35.53741","35.55364","35.49315","35.50663","34.54971","2021-02-12"
"44","35.49057","35.53941","35.5518","35.49781","35.50815","34.54962","2021-02-13"
"45","35.48711","35.53647","35.54945","35.50023","35.50864","34.55054","2021-02-14"
"46","35.47523","35.53418","35.54694","35.505","35.50833","34.55013","2021-02-15"
"47","35.45774","35.53229","35.54388","35.50977","35.50785","34.55051","2021-02-16"
"48","35.44835","35.52959","35.54114","35.50589","35.50686","34.55183","2021-02-17"
"49","35.43167","35.52667","35.53809","35.49969","35.50489","34.54881","2021-02-18"
"50","35.41639","35.52361","35.5347","35.4975","35.50287","34.54726","2021-02-19"
"51","35.40893","35.52033","35.52952","35.48898","35.50072","34.54604","2021-02-20"
