"","RUNA1","RUNA2_3","RUNA4_6","RUNA7","RUNA8","RUNA9","date"
"1","0.975","1.01166666666667","1.21666666666667","1.37","1.59","2.34","2021-01-01"
"2","0.94625","1.005","1.23375","1.38125","1.56625","2.2875","2021-01-02"
"3","1.08625","1.18875","1.44375","1.585","1.775","2.485","2021-01-03"
"4","1.105","1.19125","1.42375","1.6","1.8325","2.5475","2021-01-04"
"5","1.17625","1.24","1.44625","1.59125","1.80625","2.44125","2021-01-05"
"6","1.72875","1.785","2.025","2.1625","2.34","2.80875","2021-01-06"
"7","1.46125","1.54375","1.78625","1.945","2.165","2.745","2021-01-07"
"8","1.05","1.13875","1.3725","1.55","1.85375","2.64875","2021-01-08"
"9","1.09875","1.1825","1.4325","1.60375","1.9","2.71125","2021-01-09"
"10","1.21875","1.29625","1.52875","1.68375","1.955","2.66625","2021-01-10"
"11","1.40875","1.53125","1.80375","1.96","2.18375","2.835","2021-01-11"
"12","1.16375","1.20125","1.4275","1.59875","1.86875","2.6375","2021-01-12"
"13","0.9925","0.93625","1.075","1.16875","1.38375","2.0375","2021-01-13"
"14","0.9825","0.9525","1.06875","1.13875","1.28125","1.7175","2021-01-14"
"15","1.0575","1.07125","1.215","1.31","1.4425","1.805","2021-01-15"
"16","1.14125","1.17375","1.33","1.43","1.55125","1.86625","2021-01-16"
"17","0.9875","0.99625","1.1325","1.21875","1.3325","1.70875","2021-01-17"
"18","1.01","0.885","0.94875","0.9925","1.16","1.71875","2021-01-18"
"19","1.24","0.9875","0.9775","0.92125","1.03875","1.54","2021-01-19"
"20","1.7575","1.51","1.5225","1.4075","1.36125","1.6625","2021-01-20"
"21","1.72125","1.6775","1.81375","1.8425","1.8625","2.04375","2021-01-21"
"22","1.3","1.34875","1.5175","1.59375","1.66","1.8725","2021-01-22"
"23","1.05125","1.1675","1.405","1.53125","1.6225","1.89375","2021-01-23"
"24","0.99375","1.12375","1.38125","1.52875","1.635","1.915","2021-01-24"
"25","1.285","1.39125","1.63875","1.7825","1.8825","2.12375","2021-01-25"
"26","1.30125","1.38125","1.58875","1.705","1.78625","1.98375","2021-01-26"
"27","1.355","1.45","1.65375","1.775","1.86","2.03125","2021-01-27"
"28","1.5225","1.6325","1.83625","1.9325","1.97","2.08875","2021-01-28"
"29","1.21125","1.295","1.49375","1.58625","1.65125","1.88375","2021-01-29"
"30","1.315","1.38625","1.58375","1.6875","1.77","2.00625","2021-01-30"
