"site";"mean";"sd";"max";"min"
"RUNA1A";0,114166498;0,12799522;0,4186313;-0,16371249
"RUNA1B";0,114166498;0,12799522;0,4186313;-0,16371249
"RUNA1C";0,114166498;0,12799522;0,4186313;-0,16371249
"RUNA2A";0,135452572;0,09303906;0,330354;-0,13451457
"RUNA2B";0,135452572;0,09303906;0,330354;-0,13451457
"RUNA2C";0,135452572;0,09303906;0,330354;-0,13451457
"RUNA3A";0,135452572;0,09303906;0,330354;-0,13451457
"RUNA3B";0,135452572;0,09303906;0,330354;-0,13451457
"RUNA3C";0,135452572;0,09303906;0,330354;-0,13451457
"RUNA4A";0,140590588;0,12443404;0,3529682;-0,3356775
"RUNA4B";0,140590588;0,12443404;0,3529682;-0,3356775
"RUNA4C";0,140590588;0,12443404;0,3529682;-0,3356775
"RUNA5A";0,140590588;0,12443404;0,3529682;-0,3356775
"RUNA5B";0,140590588;0,12443404;0,3529682;-0,3356775
"RUNA5C";0,140590588;0,12443404;0,3529682;-0,3356775
"RUNA6A";0,140590588;0,12443404;0,3529682;-0,3356775
"RUNA6B";0,140590588;0,12443404;0,3529682;-0,3356775
"RUNA6C";0,140590588;0,12443404;0,3529682;-0,3356775
"RUNA7A";0,2026007;0,16041718;0,4838829;-0,35387319
"RUNA7B";0,2026007;0,16041718;0,4838829;-0,35387319
"RUNA7C";0,2026007;0,16041718;0,4838829;-0,35387319
"RUNA8A";0,223317643;0,17320178;0,6046362;-0,26992357
"RUNA8B";0,223317643;0,17320178;0,6046362;-0,26992357
"RUNA8C";0,223317643;0,17320178;0,6046362;-0,26992357
"RUNA9A";0,171344218;0,1612039;0,4993085;-0,2976813
"RUNA9B";0,171344218;0,1612039;0,4993085;-0,2976813
"RUNA9C";0,171344218;0,1612039;0,4993085;-0,2976813
