"site";"mean";"sd";"max";"min"
"RUNA1A";35,24934;0,16138481;35,49057;34,79758
"RUNA1B";35,24934;0,16138481;35,49057;34,79758
"RUNA1C";35,24934;0,16138481;35,49057;34,79758
"RUNA2A";35,4187;0,095066884;35,64054;35,18734
"RUNA2B";35,4187;0,095066884;35,64054;35,18734
"RUNA2C";35,4187;0,095066884;35,64054;35,18734
"RUNA3A";35,4187;0,095066884;35,64054;35,18734
"RUNA3B";35,4187;0,095066884;35,64054;35,18734
"RUNA3C";35,4187;0,095066884;35,64054;35,18734
"RUNA4A";35,4962;0,096155286;35,69269;35,33277
"RUNA4B";35,4962;0,096155286;35,69269;35,33277
"RUNA4C";35,4962;0,096155286;35,69269;35,33277
"RUNA5A";35,4962;0,096155286;35,69269;35,33277
"RUNA5B";35,4962;0,096155286;35,69269;35,33277
"RUNA5C";35,4962;0,096155286;35,69269;35,33277
"RUNA6A";35,4962;0,096155286;35,69269;35,33277
"RUNA6B";35,4962;0,096155286;35,69269;35,33277
"RUNA6C";35,4962;0,096155286;35,69269;35,33277
"RUNA7A";35,30071;0,132655573;35,50977;34,97808
"RUNA7B";35,30071;0,132655573;35,50977;34,97808
"RUNA7C";35,30071;0,132655573;35,50977;34,97808
"RUNA8A";35,43373;0,098829906;35,63345;35,25896
"RUNA8B";35,43373;0,098829906;35,63345;35,25896
"RUNA8C";35,43373;0,098829906;35,63345;35,25896
"RUNA9A";34,71719;0,131378593;34,94563;34,52337
"RUNA9B";34,71719;0,131378593;34,94563;34,52337
"RUNA9C";34,71719;0,131378593;34,94563;34,52337
