"Pocillo";"Acropora";"Porites";"Soft_coral";"algal_turf";"shap";"R"
"CCA";NA;-3,57592776386779;NA;NA;NA;"OK";0,186597085009865
"Calc_worm_tube";NA;-1,50168899983149;NA;NA;NA;"OK";0,186559729945867
"Hydrozoa";NA;NA;-1,299092438914;NA;NA;"OK";0,188327219756611
"Red_biofilm";NA;-0,981890674892251;NA;NA;NA;"OK";0,222255846958045
"Green_biofilm";NA;NA;NA;NA;0,530292459190521;"OK";0,193886486592888
"Bivalvia";0,835072033243528;1,50274829537673;1,11687942498429;NA;1,42913431869261;"OK";0,130553629347914
"msp9_spo";0,966206273499562;1,67518358000428;0,904979603452704;NA;1,2817667513592;"OK";0,227444289976779
"Miniacina_sp_.a._for";NA;NA;-0,176003355857158;NA;-0,248744630681601;"OK";0,297377639822649
"Watersipora_subtorquata_bryo";NA;NA;0,13881277216409;NA;0,111950751017143;"OK";0,254466560270697
"LCBD";-0,00699981576036406;NA;NA;0,00651037039841737;NA;"OK";0,160930843751496
