"site";"mean";"sd";"max";"min";"mean_dev";"kurt"
"RUNA1A";26,33511;1,836497;29,39622;23,58225;0,0580903101851843;-1,481300646021
"RUNA1B";26,33511;1,836497;29,39622;23,58225;0,0580903101851843;-1,481300646021
"RUNA1C";26,33511;1,836497;29,39622;23,58225;0,0580903101851843;-1,481300646021
"RUNA2A";26,32187;1,829008;29,3792;23,55943;0,0455534371693128;-1,47264636004968
"RUNA2B";26,32187;1,829008;29,3792;23,55943;0,0455534371693128;-1,47264636004968
"RUNA2C";26,32187;1,829008;29,3792;23,55943;0,0455534371693128;-1,47264636004968
"RUNA3A";26,32187;1,829008;29,3792;23,55943;0,0455534371693128;-1,45170684591661
"RUNA3B";26,32187;1,829008;29,3792;23,55943;0,0455534371693128;-1,45170684591661
"RUNA3C";26,32187;1,829008;29,3792;23,55943;0,0455534371693128;-1,45170684591661
"RUNA4A";26,3141;1,826214;29,3827;23,55328;0,0385208458994694;-1,46679552125325
"RUNA4B";26,3141;1,826214;29,3827;23,55328;0,0385208458994694;-1,46679552125325
"RUNA4C";26,3141;1,826214;29,3827;23,55328;0,0385208458994694;-1,46679552125325
"RUNA5A";26,3141;1,826214;29,3827;23,55328;0,0385208458994694;-1,47264636004968
"RUNA5B";26,3141;1,826214;29,3827;23,55328;0,0385208458994694;-1,47264636004968
"RUNA5C";26,3141;1,826214;29,3827;23,55328;0,0385208458994694;-1,47264636004968
"RUNA6A";26,3141;1,826214;29,3827;23,55328;0,0385208458994694;-1,46679552125325
"RUNA6B";26,3141;1,826214;29,3827;23,55328;0,0385208458994694;-1,46679552125325
"RUNA6C";26,3141;1,826214;29,3827;23,55328;0,0385208458994694;-1,46679552125325
"RUNA7A";26,29846;1,817848;29,40928;23,47994;0,0282944451058206;-1,44731214802038
"RUNA7B";26,29846;1,817848;29,40928;23,47994;0,0282944451058206;-1,44731214802038
"RUNA7C";26,29846;1,817848;29,40928;23,47994;0,0282944451058206;-1,44731214802038
"RUNA8A";26,25949;1,808578;29,36012;23,42611;-0,00845242791005399;-1,43633379278513
"RUNA8B";26,25949;1,808578;29,36012;23,42611;-0,00845242791005399;-1,43633379278513
"RUNA8C";26,25949;1,808578;29,36012;23,42611;-0,00845242791005399;-1,43633379278513
"RUNA9A";26,10013;1,771654;29,19172;23,25757;-0,162006610449734;-1,37460250527497
"RUNA9B";26,10013;1,771654;29,19172;23,25757;-0,162006610449734;-1,37460250527497
"RUNA9C";26,10013;1,771654;29,19172;23,25757;-0,162006610449734;-1,37460250527497
